com.amazon.alexa:ask-sdk-model-runtime;com.amazon.alexa;ask-sdk-model-runtime
org.rundeck.cli-toolbelt:toolbelt-jewelcli;org.rundeck.cli-toolbelt;toolbelt-jewelcli
org.rundeck.cli-toolbelt:toolbelt-groovy;org.rundeck.cli-toolbelt;toolbelt-groovy
org.rundeck.cli-toolbelt:toolbelt;org.rundeck.cli-toolbelt;toolbelt
net.dryuf:dryuf-eval-lib;net.dryuf;dryuf-eval-lib
com.github.mrpowers:spark-fast-tests_2.13;com.github.mrpowers;spark-fast-tests_2.13
com.github.mrpowers:spark-fast-tests_2.12;com.github.mrpowers;spark-fast-tests_2.12
io.hgraphdb:hgraphdb;io.hgraphdb;hgraphdb
io.github.zero-deps:proto-ops_3;io.github.zero-deps;proto-ops_3
io.github.zero-deps:proto-ops_2.13;io.github.zero-deps;proto-ops_2.13
io.github.zero-deps:proto-tex_2.12;io.github.zero-deps;proto-tex_2.12
io.github.zero-deps:proto-ops_2.12;io.github.zero-deps;proto-ops_2.12
com.quali.cloudshell:sandbox-api;com.quali.cloudshell;sandbox-api
com.atviettelsolutions:vts-kit-ms-minio-integrated;com.atviettelsolutions;vts-kit-ms-minio-integrated
ai.redpen.capture.sdk:android-debug;ai.redpen.capture.sdk;android-debug
com.github.benhutchison:scalaswingcontrib_3;com.github.benhutchison;scalaswingcontrib_3
com.github.benhutchison:scalaswingcontrib_2.13;com.github.benhutchison;scalaswingcontrib_2.13
com.github.benhutchison:scalaswingcontrib_2.12;com.github.benhutchison;scalaswingcontrib_2.12
io.github.RafhaelSouza:mssc-brewery-config;io.github.RafhaelSouza;mssc-brewery-config
com.gojek.clickstream:clickstream;com.gojek.clickstream;clickstream
com.maileon.apiclient:maileon-api-client;com.maileon.apiclient;maileon-api-client
io.github.jefshi:lib-log;io.github.jefshi;lib-log
dev.vality:swag-questionary-aggr;dev.vality;swag-questionary-aggr
org.noear:fluentmybatis-solon-plugin;org.noear;fluentmybatis-solon-plugin
org.seleniumhq.selenium:selenium-devtools-v99;org.seleniumhq.selenium;selenium-devtools-v99
dev.petuska:kmdc-core;dev.petuska;kmdc-core
dev.petuska:kmdc-core-js;dev.petuska;kmdc-core-js
io.github.ahmadaltayeh:authentication;io.github.ahmadaltayeh;authentication
org.jboss.windup:windup-operator;org.jboss.windup;windup-operator
com.alexandriasoftware.swing:jinputvalidator;com.alexandriasoftware.swing;jinputvalidator
org.springframework.cloud:spring-cloud-stream-binder-rabbit-docs;org.springframework.cloud;spring-cloud-stream-binder-rabbit-docs
org.springframework.cloud:spring-cloud-stream-binder-kafka-docs;org.springframework.cloud;spring-cloud-stream-binder-kafka-docs
io.github.daemon369:android-version-catalog;io.github.daemon369;android-version-catalog
eu.xenit.care4alf:care4alf-5x;eu.xenit.care4alf;care4alf-5x
io.github.daemon369:android-logger;io.github.daemon369;android-logger
io.github.daemon369:logger-api;io.github.daemon369;logger-api
org.scalameta:mtags_3.2.0-RC1-bin-20220422-fd6ac43-NIGHTLY;org.scalameta;mtags_3.2.0-RC1-bin-20220422-fd6ac43-NIGHTLY
org.testmonkeys:maui;org.testmonkeys;maui
com.valtech.aapm:aapm.ui.config;com.valtech.aapm;aapm.ui.config
com.valtech.aapm:aapm.ui.apps;com.valtech.aapm;aapm.ui.apps
com.valtech.aapm:aapm.examples;com.valtech.aapm;aapm.examples
com.valtech.aapm:aapm.ui.content;com.valtech.aapm;aapm.ui.content
com.valtech.aapm:aapm.ui.apps.structure;com.valtech.aapm;aapm.ui.apps.structure
com.xiaohaoo:encrypt-env-spring-boot-starter;com.xiaohaoo;encrypt-env-spring-boot-starter
io.gitee.ludii:ludi-excel;io.gitee.ludii;ludi-excel
io.gitee.ludii:excel-utils;io.gitee.ludii;excel-utils
com.azure:azure-storage-fastpath;com.azure;azure-storage-fastpath
com.tencent.bk.repo:plugin-api;com.tencent.bk.repo;plugin-api
cn.shper:tklogger-javakit;cn.shper;tklogger-javakit
dev.rikka.rikkax.widget:mainswitchbar;dev.rikka.rikkax.widget;mainswitchbar
io.janstenpickle:trace4cats-dynamic-sampling-config_2.13;io.janstenpickle;trace4cats-dynamic-sampling-config_2.13
io.janstenpickle:trace4cats-dynamic-sampling-config_3;io.janstenpickle;trace4cats-dynamic-sampling-config_3
io.janstenpickle:trace4cats-inject_2.13;io.janstenpickle;trace4cats-inject_2.13
io.janstenpickle:trace4cats-filtering_3;io.janstenpickle;trace4cats-filtering_3
io.janstenpickle:trace4cats-inject_3;io.janstenpickle;trace4cats-inject_3
io.janstenpickle:trace4cats-rate-sampling_3;io.janstenpickle;trace4cats-rate-sampling_3
io.janstenpickle:trace4cats-base-laws_3;io.janstenpickle;trace4cats-base-laws_3
io.janstenpickle:trace4cats-dynamic-sampling-config_2.12;io.janstenpickle;trace4cats-dynamic-sampling-config_2.12
io.janstenpickle:trace4cats-dynamic-sampling_2.13;io.janstenpickle;trace4cats-dynamic-sampling_2.13
