com.highstreet-technologies.ops4j.pax.web:pax-web-jetty;com.highstreet-technologies.ops4j.pax.web;pax-web-jetty
org.wso2.carbon.governance:org.wso2.carbon.governance.taxonomy.ui;org.wso2.carbon.governance;org.wso2.carbon.governance.taxonomy.ui
org.wso2.carbon.governance:ws-discovery-proxy;org.wso2.carbon.governance;ws-discovery-proxy
org.wso2.carbon.governance:org.wso2.carbon.governance.taxonomy;org.wso2.carbon.governance;org.wso2.carbon.governance.taxonomy
org.wso2.carbon.governance:org.wso2.carbon.governance.rest.api;org.wso2.carbon.governance;org.wso2.carbon.governance.rest.api
org.wso2.carbon.governance:org.wso2.carbon.governance.comparator;org.wso2.carbon.governance;org.wso2.carbon.governance.comparator
org.wso2.carbon.governance:org.wso2.carbon.governance.client;org.wso2.carbon.governance;org.wso2.carbon.governance.client
org.wso2.carbon.governance:org.wso2.carbon.governance.gadgets.resourceimpact;org.wso2.carbon.governance;org.wso2.carbon.governance.gadgets.resourceimpact
org.wso2.carbon.governance:org.wso2.carbon.governance.gadgets.impactanalysis;org.wso2.carbon.governance;org.wso2.carbon.governance.gadgets.impactanalysis
org.wso2.carbon.governance:org.wso2.carbon.governance.gadgets;org.wso2.carbon.governance;org.wso2.carbon.governance.gadgets
org.wso2.carbon.governance:org.wso2.carbon.governance.list.ui;org.wso2.carbon.governance;org.wso2.carbon.governance.list.ui
org.wso2.carbon.governance:org.wso2.carbon.governance.dashboardpopulator;org.wso2.carbon.governance;org.wso2.carbon.governance.dashboardpopulator
org.wso2.carbon.governance:org.wso2.carbon.governance.notifications.ui;org.wso2.carbon.governance;org.wso2.carbon.governance.notifications.ui
org.wso2.carbon.governance:org.wso2.carbon.governance.metadata;org.wso2.carbon.governance;org.wso2.carbon.governance.metadata
org.wso2.carbon.governance:org.wso2.carbon.governance.gadgets.ui;org.wso2.carbon.governance;org.wso2.carbon.governance.gadgets.ui
org.wso2.carbon.governance:org.wso2.carbon.governance.gadgetsource;org.wso2.carbon.governance;org.wso2.carbon.governance.gadgetsource
org.wso2.carbon.governance:org.wso2.carbon.governance.generic;org.wso2.carbon.governance;org.wso2.carbon.governance.generic
org.wso2.carbon.governance:org.wso2.carbon.governance.list;org.wso2.carbon.governance;org.wso2.carbon.governance.list
org.wso2.carbon.governance:org.wso2.carbon.governance.generic.ui;org.wso2.carbon.governance;org.wso2.carbon.governance.generic.ui
org.wso2.carbon.governance:org.wso2.carbon.governance.lcm.ui;org.wso2.carbon.governance;org.wso2.carbon.governance.lcm.ui
org.wso2.carbon.governance:org.wso2.carbon.governance.wsdltool.ui;org.wso2.carbon.governance;org.wso2.carbon.governance.wsdltool.ui
org.wso2.carbon.governance:org.wso2.carbon.governance.wsdltool;org.wso2.carbon.governance;org.wso2.carbon.governance.wsdltool
org.wso2.carbon.governance:org.wso2.carbon.governance.custom.lifecycles.history.ui;org.wso2.carbon.governance;org.wso2.carbon.governance.custom.lifecycles.history.ui
org.wso2.carbon.governance:org.wso2.carbon.governance.custom.lifecycles.checklist.ui;org.wso2.carbon.governance;org.wso2.carbon.governance.custom.lifecycles.checklist.ui
org.wso2.carbon.governance:org.wso2.carbon.governance.custom.lifecycles.checklist;org.wso2.carbon.governance;org.wso2.carbon.governance.custom.lifecycles.checklist
org.wso2.carbon.governance:org.wso2.carbon.governance.registry.eventing;org.wso2.carbon.governance;org.wso2.carbon.governance.registry.eventing
org.wso2.carbon.governance:org.wso2.carbon.governance.lcm;org.wso2.carbon.governance;org.wso2.carbon.governance.lcm
org.wso2.carbon.governance:org.wso2.carbon.governance.registry.extensions.resources;org.wso2.carbon.governance;org.wso2.carbon.governance.registry.extensions.resources
org.wso2.carbon.governance:org.wso2.carbon.governance.registry.extensions;org.wso2.carbon.governance;org.wso2.carbon.governance.registry.extensions
org.wso2.carbon.governance:org.wso2.carbon.governance.sramp;org.wso2.carbon.governance;org.wso2.carbon.governance.sramp
org.wso2.carbon.governance:org.wso2.carbon.governance.common;org.wso2.carbon.governance;org.wso2.carbon.governance.common
org.wso2.carbon.governance:org.wso2.carbon.governance.api;org.wso2.carbon.governance;org.wso2.carbon.governance.api
org.wso2.carbon.governance:governance;org.wso2.carbon.governance;governance
org.wso2.carbon.governance:org.wso2.carbon.mashup.javascript.hostobjects.registry;org.wso2.carbon.governance;org.wso2.carbon.mashup.javascript.hostobjects.registry
org.wso2.carbon.governance:governance-mashup;org.wso2.carbon.governance;governance-mashup
org.wso2.carbon.governance:org.wso2.carbon.governance.taxonomy.stub;org.wso2.carbon.governance;org.wso2.carbon.governance.taxonomy.stub
org.wso2.carbon.governance:org.wso2.carbon.governance.wsdltool.stub;org.wso2.carbon.governance;org.wso2.carbon.governance.wsdltool.stub
org.wso2.carbon.governance:org.wso2.carbon.governance.sla.stub;org.wso2.carbon.governance;org.wso2.carbon.governance.sla.stub
