com.ofcoder.klein:klein;com.ofcoder.klein;klein
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-watchosarm32;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-watchosarm32
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-wasm-js;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-wasm-js
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-tvosx64;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-tvosx64
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-tvossimulatorarm64;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-tvossimulatorarm64
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-tvosarm64;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-tvosarm64
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-mingwx64;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-mingwx64
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-macosx64;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-macosx64
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-macosarm64;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-macosarm64
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-linuxx64;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-linuxx64
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-linuxarm64;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-linuxarm64
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-jvm;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-jvm
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-js;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-js
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-iosx64;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-iosx64
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-iossimulatorarm64;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-iossimulatorarm64
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-iosarm64;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-iosarm64
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-android;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-android
de.jensklingenberg.ktorfit:ktorfit-lib-ktor-3.0.0-android-debug;de.jensklingenberg.ktorfit;ktorfit-lib-ktor-3.0.0-android-debug
cool.taomu.box:taomu-antlr4;cool.taomu.box;taomu-antlr4
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-watchosx64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-watchosx64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-watchossimulatorarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-watchossimulatorarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-watchosdevicearm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-watchosdevicearm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-watchosarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-watchosarm64
dev.whyoleg.cryptography:cryptography-serialization-pem-watchosx64;dev.whyoleg.cryptography;cryptography-serialization-pem-watchosx64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-watchosarm32;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-watchosarm32
dev.whyoleg.cryptography:cryptography-serialization-pem-watchossimulatorarm64;dev.whyoleg.cryptography;cryptography-serialization-pem-watchossimulatorarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-wasm-wasi;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-wasm-wasi
dev.whyoleg.cryptography:cryptography-serialization-pem-watchosdevicearm64;dev.whyoleg.cryptography;cryptography-serialization-pem-watchosdevicearm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-wasm-js;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-wasm-js
dev.whyoleg.cryptography:cryptography-serialization-pem-watchosarm64;dev.whyoleg.cryptography;cryptography-serialization-pem-watchosarm64
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-tvosx64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-tvosx64
dev.whyoleg.cryptography:cryptography-serialization-pem-watchosarm32;dev.whyoleg.cryptography;cryptography-serialization-pem-watchosarm32
dev.whyoleg.cryptography:cryptography-serialization-asn1-modules-tvossimulatorarm64;dev.whyoleg.cryptography;cryptography-serialization-asn1-modules-tvossimulatorarm64
dev.whyoleg.cryptography:cryptography-serialization-pem-wasm-wasi;dev.whyoleg.cryptography;cryptography-serialization-pem-wasm-wasi
