com.github.gfx.ribbonizer:plugin;com.github.gfx.ribbonizer;plugin
org.webjars:angular-bootstrap-switch;org.webjars;angular-bootstrap-switch
net.sf.mbus4j:mbus4j-slaves;net.sf.mbus4j;mbus4j-slaves
net.sf.mbus4j:mbus4j-master-ui;net.sf.mbus4j;mbus4j-master-ui
net.sf.mbus4j:mbus4j-master;net.sf.mbus4j;mbus4j-master
net.sf.mbus4j:mbus4j-core;net.sf.mbus4j;mbus4j-core
net.sf.mbus4j:mbus4j;net.sf.mbus4j;mbus4j
com.demandware.appsec:stateless-csrf;com.demandware.appsec;stateless-csrf
pt.tecnico.dsi:akka-kadmin_2.12;pt.tecnico.dsi;akka-kadmin_2.12
org.longevityframework:longevity-ddd_2.11;org.longevityframework;longevity-ddd_2.11
org.longevityframework:longevity-ddd_2.12;org.longevityframework;longevity-ddd_2.12
net.sf.atmodem4j:spsw-nativelibs-bundle;net.sf.atmodem4j;spsw-nativelibs-bundle
com.github.ppiotrow:bitmap-dsl_2.11;com.github.ppiotrow;bitmap-dsl_2.11
com.yukihirai0505.default:sinstagram_2.11;com.yukihirai0505.default;sinstagram_2.11
com.github.romix.akka:akka-kryo-serialization_2.12;com.github.romix.akka;akka-kryo-serialization_2.12
com.github.psxpaul:gradle-execfork-plugin;com.github.psxpaul;gradle-execfork-plugin
net.sf.atmodem4j:libspsw-linux-armhf;net.sf.atmodem4j;libspsw-linux-armhf
org.webjars.npm:github-com-jlmakes-scrollreveal;org.webjars.npm;github-com-jlmakes-scrollreveal
net.sf.atmodem4j:spsw-windows-x86;net.sf.atmodem4j;spsw-windows-x86
net.sf.atmodem4j:spsw-windows-x86_64;net.sf.atmodem4j;spsw-windows-x86_64
net.sf.atmodem4j:libspsw-linux-i386;net.sf.atmodem4j;libspsw-linux-i386
net.sf.atmodem4j:libspsw-linux-amd64;net.sf.atmodem4j;libspsw-linux-amd64
net.sf.atmodem4j:spsw-java;net.sf.atmodem4j;spsw-java
net.sf.atmodem4j:atmodem4j-parent;net.sf.atmodem4j;atmodem4j-parent
ga.babababa:booster-common;ga.babababa;booster-common
ga.babababa:booster-app;ga.babababa;booster-app
ga.babababa:booster-core;ga.babababa;booster-core
ga.babababa:booster-core-datamanager;ga.babababa;booster-core-datamanager
ga.babababa:booster-core-model;ga.babababa;booster-core-model
ga.babababa:booster-parent;ga.babababa;booster-parent
ga.babababa:demo-ecom-app-web-admin;ga.babababa;demo-ecom-app-web-admin
ga.babababa:demo-ecom-app-web-user;ga.babababa;demo-ecom-app-web-user
ga.babababa:demo-ecom-core;ga.babababa;demo-ecom-core
org.webjars.npm:angulartics-chrome-platform-analytics;org.webjars.npm;angulartics-chrome-platform-analytics
org.webjars.bower:github-com-paulhitz-angulartics-chrome-platform-analytics;org.webjars.bower;github-com-paulhitz-angulartics-chrome-platform-analytics
net.sf.atmodem4j:atmodem4j;net.sf.atmodem4j;atmodem4j
