org.neo4j:parent-central;org.neo4j;parent-central
org.glassfish.admingui:console-jms-plugin-help;org.glassfish.admingui;console-jms-plugin-help
org.glassfish.admingui:console-common-full-plugin-help;org.glassfish.admingui;console-common-full-plugin-help
org.glassfish.admingui:console-jdbc-plugin-help;org.glassfish.admingui;console-jdbc-plugin-help
org.glassfish.admingui:console-jca-plugin-help;org.glassfish.admingui;console-jca-plugin-help
org.glassfish.admingui:console-ejb-lite-plugin-help;org.glassfish.admingui;console-ejb-lite-plugin-help
org.glassfish.admingui:console-ejb-plugin-help;org.glassfish.admingui;console-ejb-plugin-help
org.glassfish.admingui:console-corba-plugin-help;org.glassfish.admingui;console-corba-plugin-help
org.glassfish.admingui:console-cluster-plugin-help;org.glassfish.admingui;console-cluster-plugin-help
org.glassfish.admingui:console-common-help;org.glassfish.admingui;console-common-help
br.com.caelum.vraptor:vraptor-neo4j;br.com.caelum.vraptor;vraptor-neo4j
br.com.caelum:restfulie;br.com.caelum;restfulie
org.ow2.jonas.cxf.transport.reliablejms:documentation;org.ow2.jonas.cxf.transport.reliablejms;documentation
org.ow2.jonas.cxf.transport.reliablejms:examples-spring_mdp-modules-webapp-server;org.ow2.jonas.cxf.transport.reliablejms;examples-spring_mdp-modules-webapp-server
org.ow2.jonas.cxf.transport.reliablejms:examples-spring_mdp-modules-webapp-client;org.ow2.jonas.cxf.transport.reliablejms;examples-spring_mdp-modules-webapp-client
org.ow2.jonas.cxf.transport.reliablejms:examples-spring_mdp-modules-wsdl;org.ow2.jonas.cxf.transport.reliablejms;examples-spring_mdp-modules-wsdl
org.ow2.jonas.cxf.transport.reliablejms:examples-spring_mdp-modules;org.ow2.jonas.cxf.transport.reliablejms;examples-spring_mdp-modules
org.ow2.jonas.cxf.transport.reliablejms:examples-spring_mdp;org.ow2.jonas.cxf.transport.reliablejms;examples-spring_mdp
org.ow2.jonas.cxf.transport.reliablejms:examples-ejb_mdb-assemblies-ear;org.ow2.jonas.cxf.transport.reliablejms;examples-ejb_mdb-assemblies-ear
org.ow2.jonas.cxf.transport.reliablejms:examples-ejb_mdb-assemblies;org.ow2.jonas.cxf.transport.reliablejms;examples-ejb_mdb-assemblies
org.ow2.jonas.cxf.transport.reliablejms:examples-ejb_mdb-modules-webapp;org.ow2.jonas.cxf.transport.reliablejms;examples-ejb_mdb-modules-webapp
