io.github.youngtaekh:android-util;io.github.youngtaekh;android-util
io.github.mooe1215:mooez-event-spring-boot-starter;io.github.mooe1215;mooez-event-spring-boot-starter
io.github.mooe1215:mooez-event-core-handler;io.github.mooe1215;mooez-event-core-handler
io.github.mooe1215:mooez-event-commons;io.github.mooe1215;mooez-event-commons
io.github.mooe1215:mooez-event-standard;io.github.mooe1215;mooez-event-standard
io.github.mooe1215:mooez-event-pom;io.github.mooe1215;mooez-event-pom
org.webjars.bowergithub.chartjs:chartjs-plugin-datalabels;org.webjars.bowergithub.chartjs;chartjs-plugin-datalabels
io.github.gonguasp:jwt;io.github.gonguasp;jwt
org.xipki:dbtool;org.xipki;dbtool
org.xipki.assembly:xipki-dbtool;org.xipki.assembly;xipki-dbtool
it.nicolasfarabegoli:publish-to-maven-central;it.nicolasfarabegoli;publish-to-maven-central
