com.github.mboogerd:mmap-mem_2.12;com.github.mboogerd;mmap-mem_2.12
com.github.mboogerd:mmap-all_2.12;com.github.mboogerd;mmap-all_2.12
org.webjars.bower:medium-editor;org.webjars.bower;medium-editor
io.kwy.boot:spring-boot-autoconfigure;io.kwy.boot;spring-boot-autoconfigure
io.kwy.boot:spring-boot-parent;io.kwy.boot;spring-boot-parent
io.kwy.boot:spring-boot-starter-data-jpa;io.kwy.boot;spring-boot-starter-data-jpa
io.kwy.boot:spring-boot-starter-parent;io.kwy.boot;spring-boot-starter-parent
io.kwy.boot:spring-boot-dependencies;io.kwy.boot;spring-boot-dependencies
io.kwy.boot:spring-boot-starters;io.kwy.boot;spring-boot-starters
io.kwy.boot:spring-boot;io.kwy.boot;spring-boot
io.kwy.boot:spring-boot-starter;io.kwy.boot;spring-boot-starter
com.github.yanana:agni-fs2_2.12;com.github.yanana;agni-fs2_2.12
com.github.yanana:agni-fs2_2.11;com.github.yanana;agni-fs2_2.11
com.whisk:finagle-postgres_2.12;com.whisk;finagle-postgres_2.12
com.facebook.presto.hive:hive-apache-jdbc;com.facebook.presto.hive;hive-apache-jdbc
com.sudoplay.ecs:orchidecs;com.sudoplay.ecs;orchidecs
org.scalastyle:scalastyle-maven-plugin;org.scalastyle;scalastyle-maven-plugin
org.scalastyle:scalastyle-sbt-plugin724599971;org.scalastyle;scalastyle-sbt-plugin
org.scalastyle:scalastyle-sbt-plugin-1555225206;org.scalastyle;scalastyle-sbt-plugin
org.scalastyle:scalastyle_2.12;org.scalastyle;scalastyle_2.12
org.scalastyle:scalastyle_2.11;org.scalastyle;scalastyle_2.11
org.scalastyle:scalastyle_2.10;org.scalastyle;scalastyle_2.10
com.malliina:mobile-push_2.11;com.malliina;mobile-push_2.11
com.malliina:util-actor_2.11;com.malliina;util-actor_2.11
com.malliina:util_2.11;com.malliina;util_2.11
com.malliina:util-rmi_2.11;com.malliina;util-rmi_2.11
com.malliina:util-actor_2.10;com.malliina;util-actor_2.10
com.malliina:util_2.10;com.malliina;util_2.10
com.malliina:util-rmi_2.10;com.malliina;util-rmi_2.10
com.github.wellingr:akka-persistence-jdbc_2.12;com.github.wellingr;akka-persistence-jdbc_2.12
com.github.wellingr:akka-persistence-jdbc_2.11;com.github.wellingr;akka-persistence-jdbc_2.11
org.webjars.bower:github-com-requirejs-alameda;org.webjars.bower;github-com-requirejs-alameda
com.alugarei:cielo-scala_2.11;com.alugarei;cielo-scala_2.11
org.scalaz:scalaz-typelevel_2.13.0-M1;org.scalaz;scalaz-typelevel_2.13.0-M1
org.scalaz:scalaz-xml_2.13.0-M1;org.scalaz;scalaz-xml_2.13.0-M1
