com.github.f1xmAn:jschedule-ds;com.github.f1xmAn;jschedule-ds
com.github.eostermueller:headlessInTraceClient;com.github.eostermueller;headlessInTraceClient
com.github.lzyzsd:CircleProgress;com.github.lzyzsd;CircleProgress
com.googlecode.kiama:kiama_2.10;com.googlecode.kiama;kiama_2.10
com.googlecode.kiama:kiama_2.11;com.googlecode.kiama;kiama_2.11
org.grules:grules;org.grules;grules
me.philio.disqus:disqus;me.philio.disqus;disqus
com.flowlogix:tapestry-gwt-build-core;com.flowlogix;tapestry-gwt-build-core
com.flowlogix:tapestry-build-core;com.flowlogix;tapestry-build-core
com.github.castorflex.playservicesstrip:plugin;com.github.castorflex.playservicesstrip;plugin
net.sf.uadetector:distribution;net.sf.uadetector;distribution
net.sf.uadetector:uadetector-resources;net.sf.uadetector;uadetector-resources
net.sf.uadetector:uadetector-json;net.sf.uadetector;uadetector-json
net.sf.uadetector:uadetector-core;net.sf.uadetector;uadetector-core
net.sf.uadetector:uadetector-parent;net.sf.uadetector;uadetector-parent
com.github.subchen:jetbrick-orm;com.github.subchen;jetbrick-orm
com.github.subchen:jetbrick-ioc;com.github.subchen;jetbrick-ioc
com.github.sogyf:goja-showcase;com.github.sogyf;goja-showcase
org.scalatra:scalatra-example_2.10;org.scalatra;scalatra-example_2.10
org.scalatra:scalatra-project_2.10;org.scalatra;scalatra-project_2.10
org.scalatra:scalatra-example_2.11;org.scalatra;scalatra-example_2.11
org.scalatra:scalatra-project_2.11;org.scalatra;scalatra-project_2.11
com.msiops.ground:ground-either;com.msiops.ground;ground-either
com.msiops.footing:footing-functional;com.msiops.footing;footing-functional
com.msiops.footing:functional;com.msiops.footing;functional
com.msiops.footing:footing;com.msiops.footing;footing
org.accidia:dbz;org.accidia;dbz
com.nhaarman.daggerutils:lib;com.nhaarman.daggerutils;lib
com.spruenker:elastic-feeder_2.11;com.spruenker;elastic-feeder_2.11
com.spruenker:elastic-feeder_2.10;com.spruenker;elastic-feeder_2.10
pl.wkr:fluent-exception-rule;pl.wkr;fluent-exception-rule
codes.reactive:scala-time-threeten_2.10;codes.reactive;scala-time-threeten_2.10
codes.reactive:scala-time-threeten_2.11;codes.reactive;scala-time-threeten_2.11
org.webjars:angular-busy;org.webjars;angular-busy
com.github.sebhoss:null-analysis;com.github.sebhoss;null-analysis
org.webjars:Leaflet.label;org.webjars;Leaflet.label
org.webjars:angular-deferred-bootstrap;org.webjars;angular-deferred-bootstrap
com.github.sebhoss:jdt-settings;com.github.sebhoss;jdt-settings
org.urbanbyte.cueserver:cueserver-client;org.urbanbyte.cueserver;cueserver-client
io.github.rmuhamedgaliev.yams:YAMS;io.github.rmuhamedgaliev.yams;YAMS
com.skyfishjy.ripplebackground:library;com.skyfishjy.ripplebackground;library
com.squareup.spoon:spoon-sample-tests;com.squareup.spoon;spoon-sample-tests
com.squareup.spoon:spoon-sample-app;com.squareup.spoon;spoon-sample-app
com.squareup.spoon:spoon-sample;com.squareup.spoon;spoon-sample
com.tinkerpop:giraph-gremlin;com.tinkerpop;giraph-gremlin
com.hannesdorfmann.smoothprogressbar:library-circular;com.hannesdorfmann.smoothprogressbar;library-circular
com.hannesdorfmann.smoothprogressbar:library;com.hannesdorfmann.smoothprogressbar;library
io.trbl.bcpg:bcpg-simple-jdk15on;io.trbl.bcpg;bcpg-simple-jdk15on
com.github.ddth:ddth-progress;com.github.ddth;ddth-progress
de.yourinspiration:mongo-repository;de.yourinspiration;mongo-repository
com.github.adrianboimvaser:postgresql-maven-plugin;com.github.adrianboimvaser;postgresql-maven-plugin
org.jboss.spec.javax.net.ssl:jboss-jsse-api_8.0_spec;org.jboss.spec.javax.net.ssl;jboss-jsse-api_8.0_spec
