net.corda.cordapp.cordapp-configuration:net.corda.cordapp.cordapp-configuration.gradle.plugin;net.corda.cordapp.cordapp-configuration;net.corda.cordapp.cordapp-configuration.gradle.plugin
io.devbench.uibuilder.core:uibuilder-core;io.devbench.uibuilder.core;uibuilder-core
io.devbench.uibuilder.data:uibuilder-data-jpa-filtering;io.devbench.uibuilder.data;uibuilder-data-jpa-filtering
io.devbench.uibuilder.components:uibuilder-tooltip;io.devbench.uibuilder.components;uibuilder-tooltip
io.devbench.uibuilder.security:uibuilder-security-api;io.devbench.uibuilder.security;uibuilder-security-api
io.devbench.uibuilder.components:uibuilder-crud-panel;io.devbench.uibuilder.components;uibuilder-crud-panel
io.devbench.uibuilder.data:uibuilder-spring-data;io.devbench.uibuilder.data;uibuilder-spring-data
io.devbench.uibuilder.components:uibuilder-backend-communicator;io.devbench.uibuilder.components;uibuilder-backend-communicator
io.devbench.uibuilder.context-management:uibuilder-spring;io.devbench.uibuilder.context-management;uibuilder-spring
io.devbench.uibuilder.i18n.plugin:uibuilder-i18n-maven-plugin;io.devbench.uibuilder.i18n.plugin;uibuilder-i18n-maven-plugin
io.devbench.uibuilder:security;io.devbench.uibuilder;security
io.devbench.uibuilder.components:uibuilder-form;io.devbench.uibuilder.components;uibuilder-form
org.eclipse.nebula.widgets.nattable:org.eclipse.nebula.widgets.nattable.extension.poi;org.eclipse.nebula.widgets.nattable;org.eclipse.nebula.widgets.nattable.extension.poi
org.eclipse.nebula.widgets.nattable:org.eclipse.nebula.widgets.nattable.extension.nebula;org.eclipse.nebula.widgets.nattable;org.eclipse.nebula.widgets.nattable.extension.nebula
org.eclipse.nebula.widgets.nattable:org.eclipse.nebula.widgets.nattable.extension.glazedlists;org.eclipse.nebula.widgets.nattable;org.eclipse.nebula.widgets.nattable.extension.glazedlists
org.eclipse.nebula.widgets.nattable:org.eclipse.nebula.widgets.nattable.extension.e4;org.eclipse.nebula.widgets.nattable;org.eclipse.nebula.widgets.nattable.extension.e4
org.eclipse.nebula.widgets.nattable:org.eclipse.nebula.widgets.nattable.core;org.eclipse.nebula.widgets.nattable;org.eclipse.nebula.widgets.nattable.core
org.commonjava.util:path-mapped-storage;org.commonjava.util;path-mapped-storage
site.sorghum.anno:anno-admin-ui-ant-design;site.sorghum.anno;anno-admin-ui-ant-design
org.eclipse.nebula.widgets.nattable:parent;org.eclipse.nebula.widgets.nattable;parent
org.commonjava.util:path-mapped-pathdb-jpa;org.commonjava.util;path-mapped-pathdb-jpa
org.commonjava.util:path-mapped-pathdb-datastax;org.commonjava.util;path-mapped-pathdb-datastax
org.commonjava.util:path-mapped-pathdb;org.commonjava.util;path-mapped-pathdb
org.commonjava.util:path-mapped-common;org.commonjava.util;path-mapped-common
org.commonjava.util:path-mapped;org.commonjava.util;path-mapped
io.github.antoniomacri:reactive-gwt;io.github.antoniomacri;reactive-gwt
io.github.antoniomacri:reactive-gwt-processor;io.github.antoniomacri;reactive-gwt-processor
io.github.antoniomacri:reactive-gwt-proxy;io.github.antoniomacri;reactive-gwt-proxy
org.openurp.degree.thesis:openurp-degree-thesis-webapp;org.openurp.degree.thesis;openurp-degree-thesis-webapp
com.github.highras:rtvt-server;com.github.highras;rtvt-server
in.co.sandbox:api-client-java;in.co.sandbox;api-client-java
com.pulumi:wavefront;com.pulumi;wavefront
com.pulumi:splunk;com.pulumi;splunk
org.openurp.edu:openurp-edu-core;org.openurp.edu;openurp-edu-core
org.openurp.edu:openurp-edu-ws;org.openurp.edu;openurp-edu-ws
com.pulumi:slack;com.pulumi;slack
org.openurp.base:openurp-base-tag;org.openurp.base;openurp-base-tag
org.openurp.base:openurp-base-ws;org.openurp.base;openurp-base-ws
org.openurp.base:openurp-base-webapp;org.openurp.base;openurp-base-webapp
org.openurp.base:openurp-base-static;org.openurp.base;openurp-base-static
org.openurp.starter:openurp-starter-web;org.openurp.starter;openurp-starter-web
org.openurp.starter:openurp-starter-task;org.openurp.starter;openurp-starter-task
org.openurp.starter:openurp-starter-ws;org.openurp.starter;openurp-starter-ws
io.github.jarlah:testcontainers-ceph;io.github.jarlah;testcontainers-ceph
com.pulumi:rabbitmq;com.pulumi;rabbitmq
com.pulumi:opsgenie;com.pulumi;opsgenie
org.treblereel.gwt.jakarta:bom;org.treblereel.gwt.jakarta;bom
com.pulumi:onelogin;com.pulumi;onelogin
com.pulumi:null;com.pulumi;"null"
org.treblereel.gwt.jakarta:stdlib;org.treblereel.gwt.jakarta;stdlib
org.openurp.qos:openurp-qos-api;org.openurp.qos;openurp-qos-api
com.pulumi:mysql;com.pulumi;mysql
org.openurp.degree:openurp-degree-api;org.openurp.degree;openurp-degree-api
org.openurp.trd:openurp-trd-api;org.openurp.trd;openurp-trd-api
org.openurp.prac:openurp-prac-api;org.openurp.prac;openurp-prac-api
org.openurp.std:openurp-std-api;org.openurp.std;openurp-std-api
org.openurp.base:openurp-base-api;org.openurp.base;openurp-base-api
org.openurp.edu:openurp-edu-api;org.openurp.edu;openurp-edu-api
org.openurp.code:openurp-code-api;org.openurp.code;openurp-code-api
com.pulumi:minio;com.pulumi;minio
com.pulumi:mailgun;com.pulumi;mailgun
com.pulumi:local;com.pulumi;local
com.pulumi:libvirt;com.pulumi;libvirt
com.pulumi:kong;com.pulumi;kong
com.pulumi:ec;com.pulumi;ec
com.pulumi:f5bigip;com.pulumi;f5bigip
com.chensoul:chensoul-parent;com.chensoul;chensoul-parent
com.pulumi:external;com.pulumi;external
org.webjars.npm:commonmark;org.webjars.npm;commonmark
com.pulumi:cloudinit;com.pulumi;cloudinit
com.pulumi:civo;com.pulumi;civo
com.streamlake:kuaishou-vod-open-sdk-java;com.streamlake;kuaishou-vod-open-sdk-java
io.github.ying1dudu:json-script-rule;io.github.ying1dudu;json-script-rule
io.github.ying1dudu:json-script-rule-spring-boot-starter;io.github.ying1dudu;json-script-rule-spring-boot-starter
com.efindi:smo-filter;com.efindi;smo-filter
com.google.cloud.functions:function-maven-plugin;com.google.cloud.functions;function-maven-plugin
com.dshatz:ktorfit-koin-lib-wasm-js;com.dshatz;ktorfit-koin-lib-wasm-js
com.dshatz:ktorfit-koin-lib-mingwx64;com.dshatz;ktorfit-koin-lib-mingwx64
com.dshatz:ktorfit-koin-lib-linuxx64;com.dshatz;ktorfit-koin-lib-linuxx64
com.dshatz:ktorfit-koin-lib-linuxarm64;com.dshatz;ktorfit-koin-lib-linuxarm64
com.dshatz:ktorfit-koin-lib;com.dshatz;ktorfit-koin-lib
com.dshatz:ktorfit-koin-lib-jvm;com.dshatz;ktorfit-koin-lib-jvm
com.dshatz:ktorfit-koin-lib-js;com.dshatz;ktorfit-koin-lib-js
com.dshatz:ktorfit-koin-lib-android;com.dshatz;ktorfit-koin-lib-android
com.dshatz:ktorfit-koin;com.dshatz;ktorfit-koin
com.eygraber:jsonapi-kotlin-watchosx64;com.eygraber;jsonapi-kotlin-watchosx64
com.eygraber:jsonapi-kotlin-watchossimulatorarm64;com.eygraber;jsonapi-kotlin-watchossimulatorarm64
com.eygraber:jsonapi-kotlin-watchosdevicearm64;com.eygraber;jsonapi-kotlin-watchosdevicearm64
com.eygraber:jsonapi-kotlin-watchosarm64;com.eygraber;jsonapi-kotlin-watchosarm64
com.eygraber:jsonapi-kotlin-watchosarm32;com.eygraber;jsonapi-kotlin-watchosarm32
com.eygraber:jsonapi-kotlin-wasm-wasi;com.eygraber;jsonapi-kotlin-wasm-wasi
com.eygraber:jsonapi-kotlin-wasm-js;com.eygraber;jsonapi-kotlin-wasm-js
com.eygraber:jsonapi-kotlin-tvosx64;com.eygraber;jsonapi-kotlin-tvosx64
com.eygraber:jsonapi-kotlin-tvossimulatorarm64;com.eygraber;jsonapi-kotlin-tvossimulatorarm64
com.eygraber:jsonapi-kotlin-tvosarm64;com.eygraber;jsonapi-kotlin-tvosarm64
com.eygraber:jsonapi-kotlin-mingwx64;com.eygraber;jsonapi-kotlin-mingwx64
com.eygraber:jsonapi-kotlin-macosx64;com.eygraber;jsonapi-kotlin-macosx64
com.eygraber:jsonapi-kotlin-macosarm64;com.eygraber;jsonapi-kotlin-macosarm64
com.eygraber:jsonapi-kotlin-linuxx64;com.eygraber;jsonapi-kotlin-linuxx64
com.eygraber:jsonapi-kotlin-linuxarm64;com.eygraber;jsonapi-kotlin-linuxarm64
com.eygraber:jsonapi-kotlin;com.eygraber;jsonapi-kotlin
com.eygraber:jsonapi-kotlin-jvm;com.eygraber;jsonapi-kotlin-jvm
com.eygraber:jsonapi-kotlin-js;com.eygraber;jsonapi-kotlin-js
com.eygraber:jsonapi-kotlin-iosx64;com.eygraber;jsonapi-kotlin-iosx64
com.eygraber:jsonapi-kotlin-iossimulatorarm64;com.eygraber;jsonapi-kotlin-iossimulatorarm64
