com.exactpro.th2:grpc-sim-template;com.exactpro.th2;grpc-sim-template
de.iip-ecosphere.platform:deviceMgt.s3mock;de.iip-ecosphere.platform;deviceMgt.s3mock
de.iip-ecosphere.platform:deviceMgt.minio;de.iip-ecosphere.platform;deviceMgt.minio
de.iip-ecosphere.platform:deviceMgt.basicRegistry;de.iip-ecosphere.platform;deviceMgt.basicRegistry
de.iip-ecosphere.platform:deviceMgt;de.iip-ecosphere.platform;deviceMgt
de.iip-ecosphere.platform:dependency-plugin;de.iip-ecosphere.platform;dependency-plugin
de.iip-ecosphere.platform:connectors.opcuav1;de.iip-ecosphere.platform;connectors.opcuav1
de.iip-ecosphere.platform:connectors.mqttv5;de.iip-ecosphere.platform;connectors.mqttv5
de.iip-ecosphere.platform:connectors.mqttv3;de.iip-ecosphere.platform;connectors.mqttv3
de.iip-ecosphere.platform:connectors.mqtt;de.iip-ecosphere.platform;connectors.mqtt
de.iip-ecosphere.platform:connectors.ads;de.iip-ecosphere.platform;connectors.ads
de.iip-ecosphere.platform:connectors.aas;de.iip-ecosphere.platform;connectors.aas
de.iip-ecosphere.platform:connectors;de.iip-ecosphere.platform;connectors
de.iip-ecosphere.platform:configuration.defaultLib;de.iip-ecosphere.platform;configuration.defaultLib
de.iip-ecosphere.platform:configuration.configuration;de.iip-ecosphere.platform;configuration.configuration
de.iip-ecosphere.platform:configuration-plugin;de.iip-ecosphere.platform;configuration-plugin
de.iip-ecosphere.platform:apps.ServiceImpl;de.iip-ecosphere.platform;apps.ServiceImpl
de.iip-ecosphere.platform:apps.AppInterfacesSimpleMesh3;de.iip-ecosphere.platform;apps.AppInterfacesSimpleMesh3
de.iip-ecosphere.platform:apps.AppInterfacesSimpleMesh;de.iip-ecosphere.platform;apps.AppInterfacesSimpleMesh
de.iip-ecosphere.platform:apps.AppInterfacesRoutingTest;de.iip-ecosphere.platform;apps.AppInterfacesRoutingTest
de.iip-ecosphere.platform:apps.AppInterfacesKodex;de.iip-ecosphere.platform;apps.AppInterfacesKodex
de.iip-ecosphere.platform:apps.AppInterfacesContainerCreation;de.iip-ecosphere.platform;apps.AppInterfacesContainerCreation
io.github.oxayotl:spring-boot-starter-meikik;io.github.oxayotl;spring-boot-starter-meikik
pub.doric.extension:mobx;pub.doric.extension;mobx
io.github.deepakdaneva.commons:commons-archive;io.github.deepakdaneva.commons;commons-archive
io.github.deepakdaneva:commons;io.github.deepakdaneva;commons
io.github.astrapi69:bean-mapper-api;io.github.astrapi69;bean-mapper-api
org.mobilitydata:gtfs-validator-core;org.mobilitydata;gtfs-validator-core
org.ogc-schemas:ogc-schemas-dist;org.ogc-schemas;ogc-schemas-dist
org.ogc-schemas:xal;org.ogc-schemas;xal
org.ogc-schemas:wps;org.ogc-schemas;wps
org.ogc-schemas:wps-v_2_0;org.ogc-schemas;wps-v_2_0
org.ogc-schemas:wps-v_1_0_0;org.ogc-schemas;wps-v_1_0_0
org.ogc-schemas:wmts;org.ogc-schemas;wmts
org.ogc-schemas:wmts-v_1_0;org.ogc-schemas;wmts-v_1_0
org.ogc-schemas:wmsc;org.ogc-schemas;wmsc
org.ogc-schemas:wmsc-v_1_1_1;org.ogc-schemas;wmsc-v_1_1_1
org.ogc-schemas:wms;org.ogc-schemas;wms
org.ogc-schemas:wms-v_1_3_0-exceptions;org.ogc-schemas;wms-v_1_3_0-exceptions
org.ogc-schemas:wms-v_1_1_1;org.ogc-schemas;wms-v_1_1_1
org.ogc-schemas:wms-v_1_1_0;org.ogc-schemas;wms-v_1_1_0
org.ogc-schemas:wms-v_1_0_0;org.ogc-schemas;wms-v_1_0_0
org.ogc-schemas:wfs;org.ogc-schemas;wfs
org.ogc-schemas:wfs-v_2_0;org.ogc-schemas;wfs-v_2_0
org.ogc-schemas:wfs-v_1_0_0;org.ogc-schemas;wfs-v_1_0_0
org.ogc-schemas:wcst;org.ogc-schemas;wcst
org.ogc-schemas:wcst-v_1_1;org.ogc-schemas;wcst-v_1_1
org.ogc-schemas:wcs-wcseo;org.ogc-schemas;wcs-wcseo
org.ogc-schemas:wcs-wcseo-v_1_0;org.ogc-schemas;wcs-wcseo-v_1_0
org.ogc-schemas:wcs-scaling;org.ogc-schemas;wcs-scaling
org.ogc-schemas:wcs-scaling-v_1_0;org.ogc-schemas;wcs-scaling-v_1_0
org.ogc-schemas:wcs-range-subsetting;org.ogc-schemas;wcs-range-subsetting
org.ogc-schemas:wcs-range-subsetting-v_1_0;org.ogc-schemas;wcs-range-subsetting-v_1_0
org.ogc-schemas:wcs-processing;org.ogc-schemas;wcs-processing
org.ogc-schemas:wcs-processing-v_2_0;org.ogc-schemas;wcs-processing-v_2_0
org.ogc-schemas:wcs-interpolation;org.ogc-schemas;wcs-interpolation
org.ogc-schemas:wcs-interpolation-v_1_0;org.ogc-schemas;wcs-interpolation-v_1_0
org.ogc-schemas:wcs-crs;org.ogc-schemas;wcs-crs
org.ogc-schemas:wcs;org.ogc-schemas;wcs
org.ogc-schemas:wcs-crs-v_1_0;org.ogc-schemas;wcs-crs-v_1_0
org.ogc-schemas:wcs-v_2_0;org.ogc-schemas;wcs-v_2_0
org.ogc-schemas:wcs-v_1_1_1;org.ogc-schemas;wcs-v_1_1_1
org.ogc-schemas:wcs-v_1_0_0;org.ogc-schemas;wcs-v_1_0_0
org.ogc-schemas:wcps;org.ogc-schemas;wcps
org.ogc-schemas:wcps-v_1_0;org.ogc-schemas;wcps-v_1_0
org.ogc-schemas:wcs-v_1_1;org.ogc-schemas;wcs-v_1_1
org.ogc-schemas:waterml;org.ogc-schemas;waterml
org.ogc-schemas:waterml-v_2_0;org.ogc-schemas;waterml-v_2_0
org.ogc-schemas:wami;org.ogc-schemas;wami
org.ogc-schemas:wami-v_1_0_2;org.ogc-schemas;wami-v_1_0_2
org.ogc-schemas:wami-v_1_0_1;org.ogc-schemas;wami-v_1_0_1
org.ogc-schemas:wami-v_1_0_0;org.ogc-schemas;wami-v_1_0_0
org.ogc-schemas:tml;org.ogc-schemas;tml
io.quarkiverse.artemis:quarkus-integration-test-artemis-camel-jms-with-default-and-named;io.quarkiverse.artemis;quarkus-integration-test-artemis-camel-jms-with-default-and-named
org.ogc-schemas:tml-v_1_0_0;org.ogc-schemas;tml-v_1_0_0
io.quarkiverse.artemis:quarkus-integration-test-artemis-core-parent;io.quarkiverse.artemis;quarkus-integration-test-artemis-core-parent
io.quarkiverse.artemis:quarkus-integration-test-artemis-camel-jms-with-external;io.quarkiverse.artemis;quarkus-integration-test-artemis-camel-jms-with-external
io.quarkiverse.artemis:quarkus-integration-test-artemis-core-empty-config;io.quarkiverse.artemis;quarkus-integration-test-artemis-core-empty-config
io.quarkiverse.artemis:quarkus-integration-test-artemis-jms-parent;io.quarkiverse.artemis;quarkus-integration-test-artemis-jms-parent
io.quarkiverse.artemis:quarkus-integration-test-artemis-jms-with-default;io.quarkiverse.artemis;quarkus-integration-test-artemis-jms-with-default
org.ogc-schemas:tjs;org.ogc-schemas;tjs
io.quarkiverse.artemis:quarkus-artemis-integration-tests-parent;io.quarkiverse.artemis;quarkus-artemis-integration-tests-parent
io.quarkiverse.artemis:quarkus-integration-test-artemis-jms-empty-config;io.quarkiverse.artemis;quarkus-integration-test-artemis-jms-empty-config
org.ogc-schemas:tjs-v_1_0;org.ogc-schemas;tjs-v_1_0
io.quarkiverse.artemis:quarkus-integration-test-artemis-camel-jms-common;io.quarkiverse.artemis;quarkus-integration-test-artemis-camel-jms-common
io.quarkiverse.artemis:quarkus-integration-test-artemis-jms-common;io.quarkiverse.artemis;quarkus-integration-test-artemis-jms-common
org.ogc-schemas:swes;org.ogc-schemas;swes
org.ogc-schemas:sweCommon;org.ogc-schemas;sweCommon
io.quarkiverse.artemis:quarkus-integration-test-artemis-core-with-default;io.quarkiverse.artemis;quarkus-integration-test-artemis-core-with-default
org.ogc-schemas:sps;org.ogc-schemas;sps
io.quarkiverse.artemis:quarkus-integration-test-artemis-camel-jms-with-named-and-external;io.quarkiverse.artemis;quarkus-integration-test-artemis-camel-jms-with-named-and-external
io.quarkiverse.artemis:quarkus-integration-test-artemis-core-common;io.quarkiverse.artemis;quarkus-integration-test-artemis-core-common
