com.alibaba.fastjson2:fastjson2-incubator-vector;com.alibaba.fastjson2;fastjson2-incubator-vector
com.cognitect.aws:oam;com.cognitect.aws;oam
com.cognitect.aws:pinpoint;com.cognitect.aws;pinpoint
com.cognitect.aws:streams-dynamodb;com.cognitect.aws;streams-dynamodb
com.cognitect.aws:athena;com.cognitect.aws;athena
com.cognitect.aws:devicefarm;com.cognitect.aws;devicefarm
com.cognitect.aws:codecommit;com.cognitect.aws;codecommit
com.cognitect.aws:models-lex-v2;com.cognitect.aws;models-lex-v2
com.cognitect.aws:redshift-data;com.cognitect.aws;redshift-data
com.cognitect.aws:inspector-scan;com.cognitect.aws;inspector-scan
com.cognitect.aws:marketplacecommerceanalytics;com.cognitect.aws;marketplacecommerceanalytics
com.cognitect.aws:route53resolver;com.cognitect.aws;route53resolver
com.cognitect.aws:pca-connector-scep;com.cognitect.aws;pca-connector-scep
com.cognitect.aws:geo-maps;com.cognitect.aws;geo-maps
com.cognitect.aws:greengrass;com.cognitect.aws;greengrass
com.cognitect.aws:omics;com.cognitect.aws;omics
com.cognitect.aws:sagemaker-edge;com.cognitect.aws;sagemaker-edge
com.cognitect.aws:cloud9;com.cognitect.aws;cloud9
com.cognitect.aws:cleanrooms;com.cognitect.aws;cleanrooms
com.cognitect.aws:sms;com.cognitect.aws;sms
com.cognitect.aws:billingconductor;com.cognitect.aws;billingconductor
com.cognitect.aws:elasticbeanstalk;com.cognitect.aws;elasticbeanstalk
com.cognitect.aws:finspace;com.cognitect.aws;finspace
com.cognitect.aws:iotwireless;com.cognitect.aws;iotwireless
com.cognitect.aws:resource-groups;com.cognitect.aws;resource-groups
com.cognitect.aws:workmailmessageflow;com.cognitect.aws;workmailmessageflow
com.cognitect.aws:marketplace-reporting;com.cognitect.aws;marketplace-reporting
com.cognitect.aws:autoscaling;com.cognitect.aws;autoscaling
com.cognitect.aws:machinelearning;com.cognitect.aws;machinelearning
com.cognitect.aws:kinesisvideo;com.cognitect.aws;kinesisvideo
com.cognitect.aws:kendra-ranking;com.cognitect.aws;kendra-ranking
com.cognitect.aws:forecast;com.cognitect.aws;forecast
com.cognitect.aws:appflow;com.cognitect.aws;appflow
com.cognitect.aws:ds;com.cognitect.aws;ds
com.cognitect.aws:comprehend;com.cognitect.aws;comprehend
com.cognitect.aws:marketplace-agreement;com.cognitect.aws;marketplace-agreement
com.cognitect.aws:serverlessrepo;com.cognitect.aws;serverlessrepo
com.cognitect.aws:kinesis-video-media;com.cognitect.aws;kinesis-video-media
com.cognitect.aws:personalize-runtime;com.cognitect.aws;personalize-runtime
com.cognitect.aws:AWSMigrationHub;com.cognitect.aws;AWSMigrationHub
com.cognitect.aws:ivschat;com.cognitect.aws;ivschat
com.cognitect.aws:iotfleetwise;com.cognitect.aws;iotfleetwise
com.cognitect.aws:wellarchitected;com.cognitect.aws;wellarchitected
com.cognitect.aws:vpc-lattice;com.cognitect.aws;vpc-lattice
com.cognitect.aws:discovery;com.cognitect.aws;discovery
com.cognitect.aws:lex-models;com.cognitect.aws;lex-models
com.cognitect.aws:simspaceweaver;com.cognitect.aws;simspaceweaver
com.cognitect.aws:workspaces-web;com.cognitect.aws;workspaces-web
com.cognitect.aws:mq;com.cognitect.aws;mq
com.cognitect.aws:globalaccelerator;com.cognitect.aws;globalaccelerator
com.cognitect.aws:application-autoscaling;com.cognitect.aws;application-autoscaling
com.cognitect.aws:ssm-quicksetup;com.cognitect.aws;ssm-quicksetup
com.cognitect.aws:kinesis-video-archived-media;com.cognitect.aws;kinesis-video-archived-media
com.cognitect.aws:identitystore;com.cognitect.aws;identitystore
org.webjars.npm:foundation-sites;org.webjars.npm;foundation-sites
io.activej:activej-launcher;io.activej;activej-launcher
io.activej:activej-multilog;io.activej;activej-multilog
io.activej:archetype-jdbc;io.activej;archetype-jdbc
io.activej:activej-launchers-dataflow;io.activej;activej-launchers-dataflow
io.activej:activej-http;io.activej;activej-http
io.activej:activej-launchers-fs;io.activej;activej-launchers-fs
io.activej:activej-serializer;io.activej;activej-serializer
io.activej:activej-launchers;io.activej;activej-launchers
io.activej:activej-launchers-rpc;io.activej;activej-launchers-rpc
io.activej:activej-launchers-http;io.activej;activej-launchers-http
io.activej:archetype-http;io.activej;archetype-http
io.activej:activej-ot;io.activej;activej-ot
io.activej:activej-config;io.activej;activej-config
io.activej:activej-promise;io.activej;activej-promise
io.activej:activej-redis;io.activej;activej-redis
io.activej:activej-jmx;io.activej;activej-jmx
io.activej:activej-inject;io.activej;activej-inject
io.activej:activej-csp;io.activej;activej-csp
io.activej:activej-test;io.activej;activej-test
io.activej:activej-etl;io.activej;activej-etl
io.activej:activej-extra;io.activej;activej-extra
io.activej:activej-crdt;io.activej;activej-crdt
io.activej:activej-triggers;io.activej;activej-triggers
io.activej:activej;io.activej;activej
io.activej:activej-jmx-stats;io.activej;activej-jmx-stats
io.activej:activej-servicegraph;io.activej;activej-servicegraph
io.activej:activej-cube;io.activej;activej-cube
io.activej:activej-launchers-fs-fui;io.activej;activej-launchers-fs-fui
io.activej:activej-eventloop;io.activej;activej-eventloop
io.activej:extra-launchers;io.activej;extra-launchers
io.activej:activej-datastream;io.activej;activej-datastream
io.activej:activej-launchers-crdt;io.activej;activej-launchers-crdt
io.activej:activej-dataflow;io.activej;activej-dataflow
io.activej:archetype-rpc;io.activej;archetype-rpc
io.activej:activej-jmxapi;io.activej;activej-jmxapi
io.activej:activej-boot;io.activej;activej-boot
io.activej:archetypes;io.activej;archetypes
io.activej:activej-specializer;io.activej;activej-specializer
io.activej:activej-net;io.activej;activej-net
io.activej:activej-memcache;io.activej;activej-memcache
io.activej:activej-common;io.activej;activej-common
io.activej:activej-bytebuf;io.activej;activej-bytebuf
io.activej:activej-launchers-common;io.activej;activej-launchers-common
io.activej:activej-fs;io.activej;activej-fs
io.activej:activej-rpc;io.activej;activej-rpc
io.activej:activej-etcd;io.activej;activej-etcd
io.activej:activej-types;io.activej;activej-types
io.activej:activej-workers;io.activej;activej-workers
io.activej:activej-json;io.activej;activej-json
io.activej:activej-codegen;io.activej;activej-codegen
io.activej:activej-state;io.activej;activej-state
io.activej:activej-dataflow-jdbc-driver;io.activej;activej-dataflow-jdbc-driver
io.pinecone:spark-pinecone_2.13;io.pinecone;spark-pinecone_2.13
io.pinecone:spark-pinecone_2.12;io.pinecone;spark-pinecone_2.12
org.opencastproject:opencast-search-service-feeds;org.opencastproject;opencast-search-service-feeds
org.opencastproject:opencast-solr;org.opencastproject;opencast-solr
org.opencastproject:opencast-engage-paella-player;org.opencastproject;opencast-engage-paella-player
org.opencastproject:opencast-search-service-remote;org.opencastproject;opencast-search-service-remote
com.aliyun:bpstudio20200710;com.aliyun;bpstudio20200710
com.github.rssh:dotty-cps-async-loom-next_3;com.github.rssh;dotty-cps-async-loom-next_3
com.github.rssh:dotty-cps-async-logic-next_native0.5_3;com.github.rssh;dotty-cps-async-logic-next_native0.5_3
com.github.rssh:dotty-cps-async-logic-next_sjs1_3;com.github.rssh;dotty-cps-async-logic-next_sjs1_3
com.github.rssh:dotty-cps-async-next_native0.5_3;com.github.rssh;dotty-cps-async-next_native0.5_3
com.github.rssh:dotty-cps-async-compiler-plugin-next_3;com.github.rssh;dotty-cps-async-compiler-plugin-next_3
com.github.rssh:dotty-cps-async-next_sjs1_3;com.github.rssh;dotty-cps-async-next_sjs1_3
com.github.rssh:dotty-cps-async-logic-next_3;com.github.rssh;dotty-cps-async-logic-next_3
com.github.rssh:dotty-cps-async-next_3;com.github.rssh;dotty-cps-async-next_3
dev.profunktor:redis4cats-log4cats_2.13;dev.profunktor;redis4cats-log4cats_2.13
dev.profunktor:redis4cats-effects_2.12;dev.profunktor;redis4cats-effects_2.12
dev.profunktor:redis4cats-streams_2.12;dev.profunktor;redis4cats-streams_2.12
dev.profunktor:redis4cats-streams_3;dev.profunktor;redis4cats-streams_3
